"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","WKGPOP","TOT","PC_POP","A","1970",62.138495225231,
"CAN","WKGPOP","TOT","PC_POP","A","1971",62.6825240943097,
"CAN","WKGPOP","TOT","PC_POP","A","1972",63.3349525572493,
"CAN","WKGPOP","TOT","PC_POP","A","1973",64.012109847968,
"CAN","WKGPOP","TOT","PC_POP","A","1974",64.7149687023864,
"CAN","WKGPOP","TOT","PC_POP","A","1975",65.3595482921065,
"CAN","WKGPOP","TOT","PC_POP","A","1976",65.9560624121102,
"CAN","WKGPOP","TOT","PC_POP","A","1977",66.4691408435941,
"CAN","WKGPOP","TOT","PC_POP","A","1978",66.9926386718837,
"CAN","WKGPOP","TOT","PC_POP","A","1979",67.4583819941405,
"CAN","WKGPOP","TOT","PC_POP","A","1980",67.8624734134299,
"CAN","WKGPOP","TOT","PC_POP","A","1981",68.1318368737363,
"CAN","WKGPOP","TOT","PC_POP","A","1982",68.2804419423352,
"CAN","WKGPOP","TOT","PC_POP","A","1983",68.375666741871,
"CAN","WKGPOP","TOT","PC_POP","A","1984",68.4390234206177,
"CAN","WKGPOP","TOT","PC_POP","A","1985",68.4506872424843,
"CAN","WKGPOP","TOT","PC_POP","A","1986",68.4978144677233,
"CAN","WKGPOP","TOT","PC_POP","A","1987",68.3718750851953,
"CAN","WKGPOP","TOT","PC_POP","A","1988",68.260602789359,
"CAN","WKGPOP","TOT","PC_POP","A","1989",68.1686999649995,
"CAN","WKGPOP","TOT","PC_POP","A","1990",68.0263339123152,
"CAN","WKGPOP","TOT","PC_POP","A","1991",67.8713376623099,
"CAN","WKGPOP","TOT","PC_POP","A","1992",67.7009561505614,
"CAN","WKGPOP","TOT","PC_POP","A","1993",67.6057993714015,
"CAN","WKGPOP","TOT","PC_POP","A","1994",67.6025786031168,
"CAN","WKGPOP","TOT","PC_POP","A","1995",67.6442312007404,
"CAN","WKGPOP","TOT","PC_POP","A","1996",67.6968166867262,
"CAN","WKGPOP","TOT","PC_POP","A","1997",67.79202919767,
"CAN","WKGPOP","TOT","PC_POP","A","1998",67.8909452782778,
