Year,SI.POV.GINI,Index Score
2017.0,33.2,55.6
2017.0,41.1,57.3
2018.0,41.3,57.3
2019.0,42.9,57.3
2017.0,33.6,53.9
2018.0,34.4,53.9
2019.0,29.9,53.9
2017.0,29.7,80.1
2018.0,30.8,80.1
2017.0,27.4,80.1
2018.0,27.2,80.1
2017.0,53.3,52.1
2018.0,53.9,52.1
2019.0,53.4,52.1
2017.0,40.4,63.8
2018.0,41.3,63.8
2017.0,33.3,76.1
2017.0,44.4,60.3
2017.0,49.7,50.3
2018.0,50.4,50.3
2019.0,51.3,50.3
2017.0,48.3,61.6
2018.0,48.0,61.6
2019.0,48.2,61.6
2017.0,30.4,66.7
2018.0,29.7,66.7
2017.0,31.4,69.4
2018.0,32.7,69.4
2017.0,24.9,74.7
2018.0,25.0,74.7
2017.0,28.7,85.2
2018.0,28.2,85.2
2017.0,44.7,53.9
2018.0,45.4,53.9
2019.0,45.7,53.9
2017.0,38.0,47.4
2018.0,38.6,47.4
2019.0,38.8,47.4
2017.0,30.4,73.5
2018.0,30.3,73.5
2017.0,27.4,83.6
2018.0,27.3,83.6
2017.0,31.6,76.7
2018.0,32.4,76.7
2017.0,37.9,55.6
2018.0,36.4,55.6
2019.0,35.9,55.6
2017.0,34.4,59.8
2018.0,32.9,59.8
2017.0,49.4,43.5
2018.0,48.9,43.5
2019.0,48.2,43.5
2017.0,30.6,65.8
2018.0,29.6,65.8
2017.0,26.1,82.7
2017.0,38.1,49.3
2018.0,37.8,49.3
2019.0,38.2,49.3
2017.0,31.4,75.0
2017.0,35.9,67.4
2017.0,27.5,64.8
2018.0,27.8,64.8
2017.0,35.6,69.0
2018.0,35.1,69.0
2017.0,37.3,70.5
2018.0,35.7,70.5
2017.0,34.5,79.8
2018.0,35.4,79.8
2017.0,29.2,75.0
2018.0,28.7,75.0
2018.0,45.4,52.6
2017.0,25.9,59.6
2018.0,25.7,59.6
2017.0,28.5,82.4
2018.0,28.1,82.4
2017.0,27.0,83.6
2018.0,27.6,83.6
2018.0,31.6,36.7
2017.0,49.9,51.4
2018.0,49.2,51.4
2019.0,49.8,51.4
2017.0,48.5,46.8
2018.0,46.0,46.8
2019.0,45.7,46.8
2017.0,43.3,49.9
2018.0,42.4,49.9
2019.0,41.5,49.9
2018.0,42.3,51.7
2017.0,29.7,69.1
2018.0,30.2,69.1
2017.0,33.8,72.0
2018.0,33.5,72.0
2017.0,36.0,63.1
2018.0,35.8,63.1
2017.0,36.2,63.8
2017.0,24.2,76.4
2018.0,24.6,76.4
2017.0,34.7,70.0
2018.0,34.7,70.0
2017.0,28.8,83.5
2018.0,30.0,83.5
2017.0,32.7,82.1
2018.0,33.1,82.1
2017.0,36.5,55.4
2018.0,36.4,55.4
2019.0,34.9,55.4
2017.0,41.4,51.3
2018.0,41.9,51.3
2019.0,41.9,51.3
2017.0,26.0,61.2
2018.0,26.1,61.2
2019.0,26.6,61.2
2017.0,35.1,74.4
2017.0,41.2,70.4
2018.0,41.4,70.4
2017.0,39.5,67.1
2018.0,39.7,67.1
2019.0,39.7,67.1
2018.0,35.7,57.8
