Index Score,Country
85.2,Denmark
83.6,Norway
83.6,Finland
83.5,Sweden
82.7,Iceland
82.4,Netherlands
82.1,Switzerland
80.1,Belgium
80.1,Austria
79.8,Luxembourg
78.8,Germany
76.7,France
76.4,Slovenia
76.1,Canada
76.1,Japan
75.1,Australia
75.0,Malta
75.0,Ireland
74.7,Czech Republic
74.6,Singapore
74.4,United Kingdom
74.3,New Zealand
73.5,Estonia
72.0,Portugal
71.4,South Korea
70.5,Lithuania
70.4,United States
70.0,Spain
69.4,Cyprus
69.1,Poland
69.0,Latvia
68.5,Slovakia
68.1,Israel
67.4,Italy
67.1,Uruguay
66.7,Croatia
65.8,Hungary
64.8,Kazakhstan
64.7,Russia
63.8,Bulgaria
63.8,Serbia
63.1,Romania
62.0,Malaysia
61.6,Costa Rica
61.5,China
61.2,Ukraine
60.3,Chile
59.8,Greece
59.6,Moldova
57.8,Vietnam
57.3,Argentina
57.1,Saudi Arabia
55.6,Georgia
55.6,Albania
55.4,Thailand
53.9,Armenia
53.9,Ecuador
52.6,Mexico
52.3,Sri Lanka
52.1,Brazil
51.7,Philippines
51.7,Tunisia
51.4,Panama
51.3,Turkey
50.3,Colombia
49.9,Peru
49.3,Indonesia
47.4,El Salvador
46.8,Paraguay
45.5,Ghana
44.8,Egypt
43.8,Laos
43.7,Morocco
43.5,Honduras
43.5,Guatemala
42.7,India
41.4,South Africa
40.2,Bangladesh
36.7,Pakistan
36.0,Cameroon
36.0,Senegal
34.5,Ivory Coast
