Country,Gini,Index Score
Albania,4.2,55.6
Argentina,8.8,57.3
Armenia,5.0,53.9
Australia,6.3,75.1
Austria,4.9,80.1
Bangladesh,4.8,40.2
Belgium,4.2,80.1
Brazil,21.1,52.1
Bulgaria,7.3,63.8
Cameroon,11.5,36.0
Canada,6.2,76.1
Chile,11.2,60.3
China,10.2,61.5
Colombia,13.4,50.3
Costa Rica,12.3,61.6
Ivory Coast,8.4,34.5
Croatia,5.3,66.7
Cyprus,5.3,69.4
Czech Republic,3.7,74.7
Denmark,4.0,85.2
Ecuador,10.7,53.9
Egypt,4.6,44.8
El Salvador,7.0,47.4
Estonia,5.4,73.5
Finland,3.9,83.6
France,5.2,76.7
Georgia,7.1,55.6
Germany,5.1,78.8
Ghana,10.3,45.5
Greece,7.1,59.8
Guatemala,11.9,43.5
Honduras,17.1,43.5
Hungary,4.9,65.8
Iceland,4.0,82.7
India,5.5,42.7
Indonesia,6.6,49.3
Ireland,5.0,75.0
Israel,8.5,68.1
Italy,7.0,67.4
Japan,5.4,76.1
Kazakhstan,3.8,64.8
South Korea,5.3,71.4
Laos,5.9,43.8
Latvia,5.8,69.0
Lithuania,7.2,70.5
Luxembourg,5.7,79.8
Malaysia,8.2,62.0
Malta,4.5,75.0
Mexico,8.8,52.6
Moldova,3.6,59.6
Morocco,7.0,43.7
Netherlands,4.2,82.4
Norway,4.1,83.6
Pakistan,4.8,36.7
Panama,15.9,51.4
Paraguay,11.7,46.8
Peru,10.3,49.9
Philippines,7.2,51.7
Poland,4.6,69.1
Portugal,6.4,72.0
Romania,8.0,63.1
Russia,6.6,64.7
Senegal,7.7,36.0
Serbia,4.2,63.8
Slovakia,4.1,68.5
Slovenia,3.7,76.4
South Africa,28.4,41.4
Spain,7.3,70.0
Sri Lanka,6.8,52.3
Sweden,4.6,83.5
Switzerland,5.2,82.1
Thailand,6.0,55.4
Tunisia,5.2,51.7
Turkey,8.5,51.3
Ukraine,3.5,61.2
United Kingdom,5.4,74.4
United States,9.4,70.4
Uruguay,7.8,67.1
Vietnam,6.2,57.8
